VariantID,Make_Descr,Model_Descr,From_Year,To_Year,Option,Position,Product_Descr,ProductID,Bodytype,SubModel
AC9366,Acura,NSX,2018,2018,2pc Front with Honda Plastic Grommet style,"",CUSTOM FLOORMATS STYLE A,CFMA,"",""
AC9366A1,Acura,NSX,2018,2018,2pc Front w/ Honda Plastic Grommets style,Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
AS7104B1,Aston Martin,Rapide,2018,2018,4pc,Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
AS7105C1,Aston Martin,Rapide,2018,2018,Trunk Mat,Third Row and Rear,DESIGNER FLOORMAT STYLE C,DFMC,"",""
VW9363,Volkswagen,e-Golf,2018,2018,"2pc Front, including E Golf, w/ VW Plastic Grommets, (3OT129 & 3OT130)","",CUSTOM FLOORMATS STYLE A,CFMA,"",""
VW9363A1,Volkswagen,e-Golf,2018,2018,"2pc Front including E Golf w/ VW plastic grommets, (3OT129 & 3OT130)",Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
VW9364,Volkswagen,e-Golf,2018,2018,"2pc Front w/ VW Plastic Grommets, & 2pc Rear, inlcuding E Golf, (3OT129 & 3OT130)","",CUSTOM FLOORMATS STYLE B,CFMB,"",""
VW9364B1,Volkswagen,e-Golf,2018,2018,"2pc Front w/ VW Plastic Grommets, & 2pc Rear, incl E Golf, (3OT129 & 3OT130)",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
AC9381,Acura,ILX,2013,2013,2pc Front w/Honda Plastic Grommets & 1 Strip Rear,"",CUSTOM FLOORMATS STYLE B,CFMB,"",""
AC9381B3,Acura,ILX,2013,2013,2pc Front w/Honda Plastic Grommets & 1 Strip Rear,Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
MS9224A1,Maserati,Spyder,2002,2007,"2PC, w/o Grommets",Front,DESIGNER FLOORMAT STYLE A,DFMA,"",""
MS9225B1,Maserati,Spyder,2002,2007,"4PC, w/o Grommets",Front Center,DESIGNER FLOORMAT STYLE B,DFMB,"",""
